#,Sección,Subsección,Obligatorio?,Curso,URL Oficial,Duración,Esfuerzo (hrs/sem),Semanas (mín),Semanas (máx),Horas Totales (mín),Horas Totales (máx),Prerrequisitos,Notas Extra,Tópicos de la Sección,Estado,Fecha Inicio,Fecha Fin,Notas Personales
1,Intro CS,1. Intro CS,OBLIGATORIO,Introduction to Computer Science and Programming using Python,https://github.com/ossu/computer-science/blob/master/coursepages/intro-cs/README.md,14 weeks,6-10 hours/week,14,14,84,140,high school algebra,,"computation, imperative programming, basic data structures and algorithms, and more",🔴 No iniciado,,,
2,Core CS,2. Core Programming,OBLIGATORIO,Systematic Program Design,https://github.com/ossu/computer-science/blob/master/coursepages/spd/README.md,13 weeks,8-10 hours/week,13,13,104,130,none,,"functional programming, design for testing, program requirements, common design patterns, unit testing, object-oriented design, static typing, dynamic typing, ML-family languages (via Standard ML), Lisp-family languages (via Racket), Ruby, and more",🔴 No iniciado,,,
3,Core CS,2. Core Programming,OBLIGATORIO,Class-based Program Design,https://github.com/ossu/computer-science/blob/master/coursepages/class-based/README.md,13 weeks,5-10 hours/week,13,13,65,130,"Systematic Program Design, High School Math",,"functional programming, design for testing, program requirements, common design patterns, unit testing, object-oriented design, static typing, dynamic typing, ML-family languages (via Standard ML), Lisp-family languages (via Racket), Ruby, and more",🔴 No iniciado,,,
4,Core CS,2. Core Programming,OBLIGATORIO,Programming Languages,https://courses.cs.washington.edu/courses/cse341/19sp/#lectures,11 weeks,4-8 hours/week,11,11,44,88,Systematic Program Design,,"functional programming, design for testing, program requirements, common design patterns, unit testing, object-oriented design, static typing, dynamic typing, ML-family languages (via Standard ML), Lisp-family languages (via Racket), Ruby, and more",🔴 No iniciado,,,
5,Core CS,2. Core Programming,OBLIGATORIO,Object-Oriented Design,https://course.ccs.neu.edu/cs3500f19/,13 weeks,5-10 hours/week,13,13,65,130,Class-based Program Design,,"functional programming, design for testing, program requirements, common design patterns, unit testing, object-oriented design, static typing, dynamic typing, ML-family languages (via Standard ML), Lisp-family languages (via Racket), Ruby, and more",🔴 No iniciado,,,
6,Core CS,2. Core Programming,OBLIGATORIO,Software Architecture,https://www.coursera.org/learn/software-architecture,4 weeks,2-5 hours/week,4,4,8,20,Object Oriented Design,,"functional programming, design for testing, program requirements, common design patterns, unit testing, object-oriented design, static typing, dynamic typing, ML-family languages (via Standard ML), Lisp-family languages (via Racket), Ruby, and more",🔴 No iniciado,,,
7,Core CS,3. Core Math,OBLIGATORIO,Calculus 1A: Differentiation,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+18.01.1x+2T2019/about,13 weeks,6-10 hours/week,13,13,78,130,high school math,The alternate covers this and the following 2 courses,"discrete mathematics, mathematical proofs, basic statistics, O-notation, discrete probability, and more",🔴 No iniciado,,,
8,Core CS,3. Core Math,OBLIGATORIO,Calculus 1B: Integration,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+18.01.2x+3T2019/about,13 weeks,5-10 hours/week,13,13,65,130,Calculus 1A,-,"discrete mathematics, mathematical proofs, basic statistics, O-notation, discrete probability, and more",🔴 No iniciado,,,
9,Core CS,3. Core Math,OBLIGATORIO,Calculus 1C: Coordinate Systems & Infinite Series,https://openlearninglibrary.mit.edu/courses/course-v1:MITx+18.01.3x+1T2020/about,6 weeks,5-10 hours/week,6,6,30,60,Calculus 1B,-,"discrete mathematics, mathematical proofs, basic statistics, O-notation, discrete probability, and more",🔴 No iniciado,,,
10,Core CS,3. Core Math,OBLIGATORIO,Mathematics for Computer Science,https://openlearninglibrary.mit.edu/courses/course-v1:OCW+6.042J+2T2019/about,13 weeks,5 hours/week,13,13,65,65,Calculus 1C,[2015/2019 solutions](https://github.com/spamegg1/Math-for-CS-solutions) [2010 solutions](https://github.com/frevib/mit-cs-math-6042-fall-2010-problems) [2005 solutions](https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-042j-mathematics-for-computer-science-fall-2005/assignments/).,"discrete mathematics, mathematical proofs, basic statistics, O-notation, discrete probability, and more",🔴 No iniciado,,,
11,Core CS,4. CS Tools,OBLIGATORIO,The Missing Semester of Your CS Education,https://missing.csail.mit.edu/,2 weeks,12 hours/week,2,2,24,24,-,,"terminals and shell scripting, vim, command line environments, version control, and more",🔴 No iniciado,,,
12,Core CS,5. Core Systems,OBLIGATORIO,Build a Modern Computer from First Principles: From Nand to Tetris,https://www.coursera.org/learn/build-a-computer,6 weeks,7-13 hours/week,6,6,42,78,C-like programming language,-,"procedural programming, manual memory management, boolean algebra, gate logic, memory, computer architecture, assembly, machine language, virtual machines, high-level languages, compilers, operating systems, network protocols, and more",🔴 No iniciado,,,
13,Core CS,5. Core Systems,OBLIGATORIO,Build a Modern Computer from First Principles: Nand to Tetris Part II,https://www.coursera.org/learn/nand2tetris2,6 weeks,12-18 hours/week,6,6,72,108,"one of these programming languages, From Nand to Tetris Part I",-,"procedural programming, manual memory management, boolean algebra, gate logic, memory, computer architecture, assembly, machine language, virtual machines, high-level languages, compilers, operating systems, network protocols, and more",🔴 No iniciado,,,
14,Core CS,5. Core Systems,OBLIGATORIO,Operating Systems: Three Easy Pieces,https://github.com/ossu/computer-science/blob/master/coursepages/ostep/README.md,10-12 weeks,6-10 hours/week,10,12,60,120,Nand to Tetris Part II,-,"procedural programming, manual memory management, boolean algebra, gate logic, memory, computer architecture, assembly, machine language, virtual machines, high-level languages, compilers, operating systems, network protocols, and more",🔴 No iniciado,,,
15,Core CS,5. Core Systems,OBLIGATORIO,Computer Networking: a Top-Down Approach,https://gaia.cs.umass.edu/kurose_ross/online_lectures.htm,8 weeks,4–12 hours/week,8,8,0,0,"algebra, probability, basic CS",[Wireshark Labs](https://gaia.cs.umass.edu/kurose_ross/wireshark.php),"procedural programming, manual memory management, boolean algebra, gate logic, memory, computer architecture, assembly, machine language, virtual machines, high-level languages, compilers, operating systems, network protocols, and more",🔴 No iniciado,,,
16,Core CS,6. Core Theory,OBLIGATORIO,"Algorithms: Design and Analysis, Part 1",https://www.edx.org/learn/algorithms/stanford-university-algorithms-design-and-analysis-part-1,8 weeks,4-8 hours/week,8,8,32,64,"any programming language, Mathematics for Computer Science",,"divide and conquer, sorting and searching, randomized algorithms, graph search, shortest paths, data structures, greedy algorithms, minimum spanning trees, dynamic programming, NP-completeness, and more",🔴 No iniciado,,,
17,Core CS,6. Core Theory,OBLIGATORIO,"Algorithms: Design and Analysis, Part 2",https://www.edx.org/learn/algorithms/stanford-university-algorithms-design-and-analysis-part-2,8 weeks,4-8 hours/week,8,8,32,64,Algorithms Part 1,,"divide and conquer, sorting and searching, randomized algorithms, graph search, shortest paths, data structures, greedy algorithms, minimum spanning trees, dynamic programming, NP-completeness, and more",🔴 No iniciado,,,
18,Core CS,7. Core Security,OBLIGATORIO,Cybersecurity Fundamentals,https://www.edx.org/learn/cybersecurity/rochester-institute-of-technology-cybersecurity-fundamentals,8 weeks,10-12 hours/week,8,8,80,96,-,,"Confidentiality, Integrity, Availability, Secure Design, Defensive Programming, Threats and Attacks, Network Security, Cryptography, and more",🔴 No iniciado,,,
19,Core CS,7. Core Security,OBLIGATORIO,Principles of Secure Coding,https://www.coursera.org/learn/secure-coding-principles,4 weeks,4 hours/week,4,4,16,16,-,,"Confidentiality, Integrity, Availability, Secure Design, Defensive Programming, Threats and Attacks, Network Security, Cryptography, and more",🔴 No iniciado,,,
20,Core CS,7. Core Security,OBLIGATORIO,Identifying Security Vulnerabilities,https://www.coursera.org/learn/identifying-security-vulnerabilities,4 weeks,4 hours/week,4,4,16,16,-,,"Confidentiality, Integrity, Availability, Secure Design, Defensive Programming, Threats and Attacks, Network Security, Cryptography, and more",🔴 No iniciado,,,
21,Core CS,7. Core Security,OBLIGATORIO,Identifying Security Vulnerabilities in C/C++ Programming,https://www.coursera.org/learn/identifying-security-vulnerabilities-c-programming,4 weeks,5 hours/week,4,4,20,20,-,,"Confidentiality, Integrity, Availability, Secure Design, Defensive Programming, Threats and Attacks, Network Security, Cryptography, and more",🔴 No iniciado,,,
22,Core CS,7. Core Security,OBLIGATORIO,Exploiting and Securing Vulnerabilities in Java Applications,https://www.coursera.org/learn/exploiting-securing-vulnerabilities-java-applications,4 weeks,5 hours/week,4,4,20,20,-,,"Confidentiality, Integrity, Availability, Secure Design, Defensive Programming, Threats and Attacks, Network Security, Cryptography, and more",🔴 No iniciado,,,
23,Core CS,8. Core Applications,OBLIGATORIO,Databases: Modeling and Theory,https://www.edx.org/learn/databases/stanford-university-databases-modeling-and-theory,2 weeks,10 hours/week,2,2,20,20,core programming,,"Agile methodology, REST, software specifications, refactoring, relational databases, transaction processing, data modeling, neural networks, supervised learning, unsupervised learning, OpenGL, ray tracing, and more",🔴 No iniciado,,,
24,Core CS,8. Core Applications,OBLIGATORIO,Databases: Relational Databases and SQL,https://www.edx.org/learn/relational-databases/stanford-university-databases-relational-databases-and-sql,2 weeks,10 hours/week,2,2,20,20,core programming,,"Agile methodology, REST, software specifications, refactoring, relational databases, transaction processing, data modeling, neural networks, supervised learning, unsupervised learning, OpenGL, ray tracing, and more",🔴 No iniciado,,,
25,Core CS,8. Core Applications,OBLIGATORIO,Databases: Semistructured Data,https://www.edx.org/learn/relational-databases/stanford-university-databases-semistructured-data,2 weeks,10 hours/week,2,2,20,20,core programming,,"Agile methodology, REST, software specifications, refactoring, relational databases, transaction processing, data modeling, neural networks, supervised learning, unsupervised learning, OpenGL, ray tracing, and more",🔴 No iniciado,,,
26,Core CS,8. Core Applications,OBLIGATORIO,Machine Learning,https://www.deeplearning.ai/courses/machine-learning-specialization/,11 weeks,9 hours/week,11,11,99,99,Basic coding,,"Agile methodology, REST, software specifications, refactoring, relational databases, transaction processing, data modeling, neural networks, supervised learning, unsupervised learning, OpenGL, ray tracing, and more",🔴 No iniciado,,,
27,Core CS,8. Core Applications,OBLIGATORIO,Computer Graphics,https://www.edx.org/learn/computer-graphics/the-university-of-california-san-diego-computer-graphics,6 weeks,12 hours/week,6,6,72,72,"C++ or Java, Basic Linear Algebra",,"Agile methodology, REST, software specifications, refactoring, relational databases, transaction processing, data modeling, neural networks, supervised learning, unsupervised learning, OpenGL, ray tracing, and more",🔴 No iniciado,,,
28,Core CS,8. Core Applications,OBLIGATORIO,Software Engineering: Introduction,https://www.edx.org/learn/software-engineering/university-of-british-columbia-software-engineering-introduction,6 weeks,8-10 hours/week,6,6,48,60,"Core Programming, and a sizable project",,"Agile methodology, REST, software specifications, refactoring, relational databases, transaction processing, data modeling, neural networks, supervised learning, unsupervised learning, OpenGL, ray tracing, and more",🔴 No iniciado,,,
29,Core CS,9. Core Ethics,OBLIGATORIO,"Ethics, Technology and Engineering",https://www.coursera.org/learn/ethics-technology-engineering,9 weeks,2 hours/week,9,9,18,18,none,,"Social Context, Analytical Tools, Professional Ethics, Intellectual Property, Privacy and Civil Liberties, and more",🔴 No iniciado,,,
30,Core CS,9. Core Ethics,OBLIGATORIO,Introduction to Intellectual Property,https://www.coursera.org/learn/introduction-intellectual-property,4 weeks,2 hours/week,4,4,8,8,none,,"Social Context, Analytical Tools, Professional Ethics, Intellectual Property, Privacy and Civil Liberties, and more",🔴 No iniciado,,,
31,Core CS,9. Core Ethics,OBLIGATORIO,Data Privacy Fundamentals,https://www.coursera.org/learn/northeastern-data-privacy,3 weeks,3 hours/week,3,3,9,9,none,,"Social Context, Analytical Tools, Professional Ethics, Intellectual Property, Privacy and Civil Liberties, and more",🔴 No iniciado,,,
32,Advanced CS,10. Advanced Programming,OPTATIVO,Parallel Programming,https://www.coursera.org/learn/scala-parallel-programming,4 weeks,6-8 hours/week,4,4,24,32,Scala programming,,"debugging theory and practice, goal-oriented programming, parallel computing, object-oriented analysis and design, UML, large-scale software architecture and design, and more",🔴 No iniciado,,,
33,Advanced CS,10. Advanced Programming,OPTATIVO,Compilers,https://www.edx.org/learn/computer-science/stanford-university-compilers,9 weeks,6-8 hours/week,9,9,54,72,none,,"debugging theory and practice, goal-oriented programming, parallel computing, object-oriented analysis and design, UML, large-scale software architecture and design, and more",🔴 No iniciado,,,
34,Advanced CS,10. Advanced Programming,OPTATIVO,Introduction to Haskell,https://www.seas.upenn.edu/~cis194/fall16/,14 weeks,-,14,14,0,0,-,,"debugging theory and practice, goal-oriented programming, parallel computing, object-oriented analysis and design, UML, large-scale software architecture and design, and more",🔴 No iniciado,,,
35,Advanced CS,10. Advanced Programming,OPTATIVO,Learn Prolog Now!,https://www.let.rug.nl/bos/lpn//lpnpage.php?pageid=online,12 weeks,-,12,12,0,0,-,,"debugging theory and practice, goal-oriented programming, parallel computing, object-oriented analysis and design, UML, large-scale software architecture and design, and more",🔴 No iniciado,,,
36,Advanced CS,10. Advanced Programming,OPTATIVO,Software Debugging,https://www.youtube.com/playlist?list=PLAwxTw4SYaPkxK63TiT88oEe-AIBhr96A,8 weeks,6 hours/week,8,8,48,48,"Python, object-oriented programming",,"debugging theory and practice, goal-oriented programming, parallel computing, object-oriented analysis and design, UML, large-scale software architecture and design, and more",🔴 No iniciado,,,
37,Advanced CS,10. Advanced Programming,OPTATIVO,Software Testing,https://www.youtube.com/playlist?list=PLAwxTw4SYaPkWVHeC_8aSIbSxE_NXI76g,4 weeks,6 hours/week,4,4,24,24,"Python, programming experience",,"debugging theory and practice, goal-oriented programming, parallel computing, object-oriented analysis and design, UML, large-scale software architecture and design, and more",🔴 No iniciado,,,
38,Advanced CS,11. Advanced Systems,OPTATIVO,Computation Structures 1: Digital Circuits,https://learning.edx.org/course/course-v1:MITx+6.004.1x_3+3T2016,10 weeks,6 hours/week,10,10,60,60,Nand2Tetris II,Alternate links contain all 3 courses.,"digital signaling, combinational logic, CMOS technologies, sequential logic, finite state machines, processor instruction sets, caches, pipelining, virtualization, parallel processing, virtual memory, synchronization primitives, system call interface, and more",🔴 No iniciado,,,
39,Advanced CS,11. Advanced Systems,OPTATIVO,Computation Structures 2: Computer Architecture,https://learning.edx.org/course/course-v1:MITx+6.004.2x+3T2015,10 weeks,6 hours/week,10,10,60,60,Computation Structures 1,-,"digital signaling, combinational logic, CMOS technologies, sequential logic, finite state machines, processor instruction sets, caches, pipelining, virtualization, parallel processing, virtual memory, synchronization primitives, system call interface, and more",🔴 No iniciado,,,
40,Advanced CS,11. Advanced Systems,OPTATIVO,Computation Structures 3: Computer Organization,https://learning.edx.org/course/course-v1:MITx+6.004.3x_2+1T2017,10 weeks,6 hours/week,10,10,60,60,Computation Structures 2,-,"digital signaling, combinational logic, CMOS technologies, sequential logic, finite state machines, processor instruction sets, caches, pipelining, virtualization, parallel processing, virtual memory, synchronization primitives, system call interface, and more",🔴 No iniciado,,,
41,Advanced CS,12. Advanced Theory,OPTATIVO,Theory of Computation,https://ocw.mit.edu/courses/18-404j-theory-of-computation-fall-2020/,13 weeks,10 hours/week,13,13,130,130,"Mathematics for Computer Science, logic, algorithms",,"formal languages, Turing machines, computability, event-driven concurrency, automata, distributed shared memory, consensus algorithms, state machine replication, computational geometry theory, propositional logic, relational logic, Herbrand logic, game trees, and more",🔴 No iniciado,,,
42,Advanced CS,12. Advanced Theory,OPTATIVO,Computational Geometry,https://www.edx.org/learn/geometry/tsinghua-university-ji-suan-ji-he-computational-geometry,16 weeks,8 hours/week,16,16,128,128,"algorithms, C++",,"formal languages, Turing machines, computability, event-driven concurrency, automata, distributed shared memory, consensus algorithms, state machine replication, computational geometry theory, propositional logic, relational logic, Herbrand logic, game trees, and more",🔴 No iniciado,,,
43,Advanced CS,12. Advanced Theory,OPTATIVO,Algorithmic Game Theory,https://timroughgarden.org/f13/f13.html,10 weeks,12 hours/week,10,10,120,120,Core Theory,,"formal languages, Turing machines, computability, event-driven concurrency, automata, distributed shared memory, consensus algorithms, state machine replication, computational geometry theory, propositional logic, relational logic, Herbrand logic, game trees, and more",🔴 No iniciado,,,
44,Advanced CS,13. Advanced InfoSec,OPTATIVO,Web Security Fundamentals,https://www.edx.org/learn/computer-security/ku-leuven-web-security-fundamentals,5 weeks,4-6 hours/week,5,5,20,30,understanding basic web technologies,,,🔴 No iniciado,,,
45,Advanced CS,13. Advanced InfoSec,OPTATIVO,Security Governance & Compliance,https://www.coursera.org/learn/security-governance-compliance,3 weeks,3 hours/week,3,3,9,9,-,,,🔴 No iniciado,,,
46,Advanced CS,13. Advanced InfoSec,OPTATIVO,Digital Forensics Concepts,https://www.coursera.org/learn/digital-forensics-concepts,3 weeks,2-3 hours/week,3,3,6,9,Core Security,,,🔴 No iniciado,,,
47,Advanced CS,13. Advanced InfoSec,OPTATIVO,"Secure Software Development: Requirements, Design, and Reuse",https://www.edx.org/learn/software-development/the-linux-foundation-secure-software-development-requirements-design-and-reuse,7 weeks,1-2 hours/week,7,7,7,14,Core Programming and Core Security,,,🔴 No iniciado,,,
48,Advanced CS,13. Advanced InfoSec,OPTATIVO,Secure Software Development: Implementation,https://www.edx.org/learn/software-development/the-linux-foundation-secure-software-development-implementation,7 weeks,1-2 hours/week,7,7,7,14,"Secure Software Development: Requirements, Design, and Reuse",,,🔴 No iniciado,,,
49,Advanced CS,13. Advanced InfoSec,OPTATIVO,Secure Software Development: Verification and More Specialized Topics,https://www.edx.org/learn/software-engineering/the-linux-foundation-secure-software-development-verification-and-more-specialized-topics,7 weeks,1-2 hours/week,7,7,7,14,Secure Software Development: Implementation,,,🔴 No iniciado,,,
50,Advanced CS,14. Advanced Math,OPTATIVO,Essence of Linear Algebra,https://www.youtube.com/playlist?list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab,-,-,0,0,0,0,high school math,,,🔴 No iniciado,,,
51,Advanced CS,14. Advanced Math,OPTATIVO,Linear Algebra,https://ocw.mit.edu/courses/mathematics/18-06sc-linear-algebra-fall-2011/,14 weeks,12 hours/week,14,14,168,168,corequisite: Essence of Linear Algebra,,,🔴 No iniciado,,,
52,Advanced CS,14. Advanced Math,OPTATIVO,Introduction to Numerical Methods,https://ocw.mit.edu/courses/mathematics/18-335j-introduction-to-numerical-methods-spring-2019/index.htm,14 weeks,12 hours/week,14,14,168,168,Linear Algebra,,,🔴 No iniciado,,,
53,Advanced CS,14. Advanced Math,OPTATIVO,Introduction to Formal Logic,https://forallx.openlogicproject.org/,10 weeks,4-8 hours/week,10,10,40,80,Set Theory,,,🔴 No iniciado,,,
54,Advanced CS,14. Advanced Math,OPTATIVO,Probability,https://stat110.hsites.harvard.edu/,15 weeks,5-10 hours/week,15,15,75,150,Differentiation and Integration,,,🔴 No iniciado,,,
55,Final Project,15. Final Project,ELEGIR 1,Fullstack Open,https://fullstackopen.com/en/,12 weeks,15 hours/week,12,12,180,180,programming,,,🔴 No iniciado,,,
56,Final Project,15. Final Project,ELEGIR 1,Modern Robotics,https://modernrobotics.northwestern.edu,26 weeks,2-5 hours/week,26,26,52,130,"freshman-level physics, linear algebra, calculus, linear ordinary differential equations",,,🔴 No iniciado,,,
57,Final Project,15. Final Project,ELEGIR 1,Data Mining (Specialization),https://www.coursera.org/specializations/data-mining,30 weeks,2-5 hours/week,30,30,60,150,machine learning,,,🔴 No iniciado,,,
58,Final Project,15. Final Project,ELEGIR 1,Big Data (Specialization),https://www.coursera.org/specializations/big-data,30 weeks,3-5 hours/week,30,30,90,150,none,,,🔴 No iniciado,,,
59,Final Project,15. Final Project,ELEGIR 1,Internet of Things (Specialization),https://www.coursera.org/specializations/internet-of-things,30 weeks,1-5 hours/week,30,30,30,150,strong programming,,,🔴 No iniciado,,,
60,Final Project,15. Final Project,ELEGIR 1,Cloud Computing (Specialization),https://www.coursera.org/specializations/cloud-computing,30 weeks,2-6 hours/week,30,30,60,180,C++ programming,,,🔴 No iniciado,,,
61,Final Project,15. Final Project,ELEGIR 1,Data Science (Specialization),https://www.coursera.org/specializations/jhu-data-science,43 weeks,1-6 hours/week,43,43,43,258,none,,,🔴 No iniciado,,,
62,Final Project,15. Final Project,ELEGIR 1,Functional Programming in Scala (Specialization),https://www.coursera.org/specializations/scala,29 weeks,4-5 hours/week,29,29,116,145,One year programming experience,,,🔴 No iniciado,,,
63,Final Project,15. Final Project,ELEGIR 1,Game Design and Development with Unity 2020 (Specialization),https://www.coursera.org/specializations/game-design-and-development,6 months,5 hours/week,24,24,120,120,"programming, interactive design",,,🔴 No iniciado,,,
